date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:48	20907/20907	---M--	200	added ('OK')	image/png	etag:%221519575786.0-20907-2122647869%22	https://the-wall-cricket.herokuapp.com/static/images/AFG.png	the-wall-cricket.herokuapp.com/static/images/AFG.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:49	71216/71216	---M--	200	added ('OK')	image/png	etag:%221519575786.0-71216-2137262431%22	https://the-wall-cricket.herokuapp.com/static/images/ZIM.png	the-wall-cricket.herokuapp.com/static/images/ZIM.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:49	151856/151856	---M--	200	added ('OK')	image/png	etag:%221519575786.0-151856-2132674902%22	https://the-wall-cricket.herokuapp.com/static/images/IRL.png	the-wall-cricket.herokuapp.com/static/images/IRL.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:51	109376/109376	---M--	200	added ('OK')	image/png	etag:%221519575786.0-109376-2120091958%22	https://the-wall-cricket.herokuapp.com/static/images/ABD.png	the-wall-cricket.herokuapp.com/static/images/ABD.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:51	274355/274355	---M--	200	added ('OK')	image/png	etag:%221519575786.0-274355-2456095221%22	https://the-wall-cricket.herokuapp.com/static/images/VIRAT.png	the-wall-cricket.herokuapp.com/static/images/VIRAT.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:52	248509/248509	---M--	200	added ('OK')	image/png	etag:%221519575786.0-248509-2287012257%22	https://the-wall-cricket.herokuapp.com/static/images/DAVW.png	the-wall-cricket.herokuapp.com/static/images/DAVW.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:53	87637/87637	---M--	200	added ('OK')	image/png	etag:%221519575786.0-87637-2129660237%22	https://the-wall-cricket.herokuapp.com/static/images/JOE.png	the-wall-cricket.herokuapp.com/static/images/JOE.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:54	121306/121306	---M--	200	added ('OK')	image/png	etag:%221519575786.0-121306-2294679979%22	https://the-wall-cricket.herokuapp.com/static/images/ROSH.png	the-wall-cricket.herokuapp.com/static/images/ROSH.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:54	107715/107715	---M--	200	added ('OK')	image/png	etag:%221519575786.0-107715-2283538832%22	https://the-wall-cricket.herokuapp.com/static/images/QDIC.png	the-wall-cricket.herokuapp.com/static/images/QDIC.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:54	740893/740893	---M--	200	added ('OK')	image/png	etag:%221519575786.0-740893-2270890357%22	https://the-wall-cricket.herokuapp.com/static/images/BABA.png	the-wall-cricket.herokuapp.com/static/images/BABA.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:55	189342/189342	---M--	200	added ('OK')	image/png	etag:%221519575786.0-189342-2122647868%22	https://the-wall-cricket.herokuapp.com/static/images/FAF.png	the-wall-cricket.herokuapp.com/static/images/FAF.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:55	221745/221745	---M--	200	added ('OK')	image/png	etag:%221519575786.0-221745-2281638286%22	https://the-wall-cricket.herokuapp.com/static/images/KANE.png	the-wall-cricket.herokuapp.com/static/images/KANE.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:55	86341/86341	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-86341-213782093%22	https://the-wall-cricket.herokuapp.com/static/javascripts/jquery.min.js	the-wall-cricket.herokuapp.com/static/javascripts/jquery.min.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:55	106408/106408	---M--	200	added ('OK')	image/png	etag:%221519575786.0-106408-2130446670%22	https://the-wall-cricket.herokuapp.com/static/images/SDH.png	the-wall-cricket.herokuapp.com/static/images/SDH.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:55	23308/23308	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-23308-202772025%22	https://the-wall-cricket.herokuapp.com/static/javascripts/tether.min.js	the-wall-cricket.herokuapp.com/static/javascripts/tether.min.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:56	44735/44735	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-44735-993070987%22	https://the-wall-cricket.herokuapp.com/static/javascripts/bootstrap.min.js	the-wall-cricket.herokuapp.com/static/javascripts/bootstrap.min.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:57	520714/520714	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-520714-4265938406%22	https://the-wall-cricket.herokuapp.com/static/javascripts/jquery-ui.js	the-wall-cricket.herokuapp.com/static/javascripts/jquery-ui.js	(from https://the-wall-cricket.herokuapp.com/)
